x,y,z,dist
131.763031,102.759354,-522.914246,1261.000000
134.324478,102.809486,-522.429016,1263.000000
135.606277,102.834389,-522.186218,1265.000000
138.171997,102.883492,-521.700012,1267.000000
139.456451,102.907738,-521.456482,1269.000000
142.026459,102.956169,-520.969421,1271.000000
143.312500,102.980637,-520.725525,1272.000000
144.600189,103.005363,-520.481262,1275.000000
147.180222,103.055565,-519.991882,1277.000000
151.050003,103.131638,-519.257629,1280.000000
152.346924,103.157150,-519.011536,1282.000000
158.816040,103.283035,-517.783264,1288.000000
160.117310,103.308167,-517.536072,1289.000000
162.708771,103.358337,-517.043884,1293.000000
166.604492,103.434052,-516.303772,1296.000000
167.903961,103.459320,-516.056946,1298.000000
174.413803,103.585701,-514.821167,1304.000000
175.718002,103.611046,-514.574890,1306.000000
178.329132,103.661865,-514.085022,1309.000000
182.258209,103.738594,-513.358398,1312.000000
183.565704,103.764191,-513.119080,1314.000000
186.183014,103.815506,-512.643250,1317.000000
190.114380,103.892616,-511.934723,1320.000000
191.426193,103.918365,-511.699371,1322.000000
194.057083,103.970169,-511.228241,1325.000000
198.005936,104.047913,-510.522369,1328.000000
199.321320,104.073738,-510.287354,1333.000000
207.231796,104.228836,-508.873749,1337.000000
208.551025,104.254753,-508.637909,1338.000000
215.165970,104.384827,-507.454773,1345.000000
216.487671,104.410835,-507.218262,1346.000000
220.441605,104.489189,-506.510620,1350.000000
221.756943,104.515114,-506.275146,1352.000000
223.083145,104.540970,-506.037720,1353.000000
224.399811,104.566406,-505.801971,1356.000000
227.035599,104.617516,-505.329895,1358.000000
230.997528,104.695679,-504.620331,1361.000000
232.318619,104.721725,-504.384033,1365.000000
236.298065,104.799423,-503.675537,1366.000000
238.943481,104.851013,-503.209778,1369.000000
240.267227,104.876999,-502.979004,1373.000000
244.244781,104.955917,-502.293427,1376.000000
246.921051,105.009193,-501.837982,1377.000000
248.248520,105.035507,-501.613434,1381.000000
254.893600,105.164917,-500.497375,1385.000000
260.217987,105.268761,-499.606750,1391.000000
262.889252,105.321541,-499.160004,1393.000000
264.222229,105.347954,-498.937012,1398.000000
272.226990,105.505432,-497.587646,1403.000000
273.562012,105.531479,-497.359406,1406.000000
276.232758,105.583664,-496.899963,1408.000000
280.240784,105.662582,-496.204010,1411.000000
281.577362,105.689041,-495.970551,1414.000000
285.589020,105.768776,-495.267242,1418.000000
288.265228,105.821877,-494.796722,1419.000000
289.603882,105.848091,-494.561157,1422.000000
292.293976,105.899681,-494.087524,1426.000000
296.314514,105.977119,-493.379242,1427.000000
